column,lookup,transform,group1,group2
市区町村,ctx:city,text,,
サービス種別,ctx:service,text,,
事業所名,ctx:name|kv:事業所の名称|kv:名称,trim,,
所在地,kv:所在地|kv:事業所の所在地,addr,,
連絡先,kv:連絡先|kv:電話番号,trim,,
事業開始年月日,kv:事業開始年月日|kv:事業開始年月日（指定年月日）|kv:指定年月日,date,,
サービス提供地域,kv:通常の事業の実施地域|kv:サービス提供地域|kv:営業地域,trim,,
平日,matrix:平日/営業時間|matrix:営業時間/平日|kv:平日,time,営業時間,
土曜,matrix:土曜/営業時間|matrix:営業時間/土曜|kv:土曜,time,営業時間,
日曜,matrix:日曜/営業時間|matrix:営業時間/日曜|kv:日曜,time,営業時間,
祝日,matrix:祝日/営業時間|matrix:営業時間/祝日|kv:祝日,time,営業時間,
定休日,kv:定休日|kv:休業日|kv:定休日（年末年始等）,trim,営業時間,
保健師_常勤,matrix:保健師/常勤|matrix:常勤/保健師,int,従業者,
保健師_非常勤,matrix:保健師/非常勤|matrix:非常勤/保健師,int,従業者,
看護師_常勤,matrix:看護師/常勤|matrix:常勤/看護師,int,従業者,
看護師_非常勤,matrix:看護師/非常勤|matrix:非常勤/看護師,int,従業者,
准看護師_常勤,matrix:准看護師/常勤|matrix:常勤/准看護師,int,従業者,
准看護師_非常勤,matrix:准看護師/非常勤|matrix:非常勤/准看護師,int,従業者,
理学療法士_常勤,matrix:理学療法士/常勤|matrix:常勤/理学療法士,int,従業者,
理学療法士_非常勤,matrix:理学療法士/非常勤|matrix:非常勤/理学療法士,int,従業者,
作業療法士_常勤,matrix:作業療法士/常勤|matrix:常勤/作業療法士,int,従業者,
作業療法士_非常勤,matrix:作業療法士/非常勤|matrix:非常勤/作業療法士,int,従業者,
言語聴覚士_常勤,matrix:言語聴覚士/常勤|matrix:常勤/言語聴覚士,int,従業者,
言語聴覚士_非常勤,matrix:言語聴覚士/非常勤|matrix:非常勤/言語聴覚士,int,従業者,
要支援１,matrix:要支援１/人数|matrix:人数/要支援１|matrix:利用者数/要支援１|kv:要支援１,int,利用者情報,要介護度別利用者数
要支援２,matrix:要支援２/人数|matrix:人数/要支援２|matrix:利用者数/要支援２|kv:要支援２,int,利用者情報,要介護度別利用者数
要介護１,matrix:要介護１/人数|matrix:人数/要介護１|matrix:利用者数/要介護１|kv:要介護１,int,利用者情報,要介護度別利用者数
要介護２,matrix:要介護２/人数|matrix:人数/要介護２|matrix:利用者数/要介護２|kv:要介護２,int,利用者情報,要介護度別利用者数
要介護３,matrix:要介護３/人数|matrix:人数/要介護３|matrix:利用者数/要介護３|kv:要介護３,int,利用者情報,要介護度別利用者数
要介護４,matrix:要介護４/人数|matrix:人数/要介護４|matrix:利用者数/要介護４|kv:要介護４,int,利用者情報,要介護度別利用者数
要介護５,matrix:要介護５/人数|matrix:人数/要介護５|matrix:利用者数/要介護５|kv:要介護５,int,利用者情報,要介護度別利用者数
氏名,kv:管理者の氏名|matrix:管理者/氏名|kv:氏名,space,事業所の管理者の氏名及び職名,
緊急時訪問看護加算,kv:緊急時訪問看護加算|kv:緊急時訪問看護加算（Ⅰ）,yesno,事業所の詳細,介護報酬の加算状況
特別管理加算,kv:特別管理加算|kv:特別管理体制,yesno,事業所の詳細,介護報酬の加算状況
ターミナルケア加算,kv:ターミナルケア加算|kv:ターミナルケア体制,yesno,事業所の詳細,介護報酬の加算状況
サービス提供体制強化加算,kv:サービス提供体制強化加算|kv:サービス提供体制強化加算（Ⅰ）,yesno,事業所の詳細,介護報酬の加算状況
２４時間対応体制,kv:２４時間対応体制|kv:24時間対応体制|kv:２４時間連絡体制,yesno,事業所の詳細,介護報酬の加算状況
事業所番号,ctx:jigyosyo_cd,text,,
詳細URL,ctx:url,text,,
